identifiant_de_l_etablissement;nom_etablissement;type_etablissement;statut_public_prive;adresse_1;adresse_2;adresse_3;code_postal;code_commune;nom_commune;code_departement;code_academie;code_region;ecole_maternelle;ecole_elementaire;voie_generale;voie_technologique;voie_professionnelle;telephone;fax;web;mail;restauration;hebergement;ulis;apprentissage;segpa;section_arts;section_cinema;section_theatre;section_sport;section_internationale;section_europeenne;lycee_agricole;lycee_militaire;lycee_des_metiers;post_bac;appartenance_education_prioritaire;greta;siren_siret;fiche_onisep;position;type_contrat_prive;libelle_departement;libelle_academie;libelle_region;coordx_origine;coordy_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;code_type_contrat_prive;pial;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0590318A;Ecole primaire Berthelot;Ecole;Public;87 rue Berthelot;;59220 DENAIN;59220;59172;Denain;059;09;32;1;1;;;;0327441727;;;ce.0590318A@ac-lille.fr;1;0;1;;;;;;;;;;;;;REP+;;21590172900099;;50.34080295355657, 3.380607846444675;SANS OBJET;Nord;Lille;Hauts-de-France;727130.4;7027071.4;EPSG:2154;Circonscription d'inspection du 1er degré de Valenciennes Denain;50.34080295355657;3.380607846444675;Rue;1972-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0594300D;;;0594360U;;;09107;VALENCIENNOIS
0590319B;Ecole élémentaire du Centre;Ecole;Public;48 rue Pasteur;;59282 DOUCHY LES MINES;59282;59179;Douchy-les-Mines;059;09;32;0;1;;;;0327318609;;;ce.0590319B@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590179400085;;50.29843774859225, 3.38717007627524;SANS OBJET;Nord;Lille;Hauts-de-France;727621.3;7022355.1;EPSG:2154;Circonscription d'inspection du 1er degré de Valenciennes-Escaudain;50.29843774859225;3.38717007627524;Numéro de rue;1972-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593484S;;;0594520T;;;09107;VALENCIENNOIS
0590329M;Ecole primaire Chauffour - RPI 29;Ecole;Public;Rue des Ecoles;;59440 FLAUMONT WAUDRECHIES;59440;59233;Flaumont-Waudrechies;059;09;32;1;1;;;;0327575249;;;ce.0590329M@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590233900021;;50.12791573590819, 3.967869703682243;SANS OBJET;Nord;Lille;Hauts-de-France;769280.6;7003722.0;EPSG:2154;Circonscription d'inspection du 1er degré d'Avesnes-Fourmies;50.12791573590819;3.967869703682243;Numéro de rue;1972-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;059029;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0595176F;;;0594516N;;;09108;SAMBRE AVESNOIS
0590362Y;Ecole élémentaire Joliot-Curie;Ecole;Public;68 allée Jules Ferry;;59553 CUINCY;59553;59165;Cuincy;059;09;32;0;1;;;;0327930342;;;ce.0590362Y@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590165300034;;50.38172467361155, 3.0438796780787536;SANS OBJET;Nord;Lille;Hauts-de-France;703125.3;7031565.0;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Cuincy;50.38172467361155;3.0438796780787536;Rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0590068D;;;0592770R;;;09106;DOUAISIS
0590380T;Ecole élémentaire Jules et Léon Maurice;Ecole;Public;83 av Du Mal De Lattre De Tassigny;;59500 DOUAI;59500;59178;Douai;059;09;32;0;1;;;;0327888437;;;ce.0590380T@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590178600362;;50.38048972442839, 3.0636733305579953;SANS OBJET;Nord;Lille;Hauts-de-France;704535.2;7031428.4;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Centre;50.38048972442839;3.0636733305579953;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0590068D;;;0592768N;;;09106;DOUAISIS
0590381U;Ecole élémentaire Eugène Lenglet;Ecole;Public;6 rue des Trannois;;59500 DOUAI;59500;59178;Douai;059;09;32;0;1;;;;0327887807;;;ce.0590381U@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590178600412;;50.39329688035113, 3.0873006096627003;SANS OBJET;Nord;Lille;Hauts-de-France;706216.5;7032856.6;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Centre;50.39329688035113;3.0873006096627003;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0590068D;;;0592768N;;;09106;DOUAISIS
0590405V;Ecole maternelle Gérard Philipe;Ecole;Public;17 place de la République;;59950 AUBY;59950;59028;Auby;059;09;32;1;0;;;;0327908220;;;ce.0590405V@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590028300080;;50.41404170152558, 3.0539501106369613;SANS OBJET;Nord;Lille;Hauts-de-France;703840.1;7035165.3;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Cuincy;50.41404170152558;3.0539501106369613;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0593251N;;;0592770R;;;09106;DOUAISIS
0590440H;Ecole primaire Albert Favresse;Ecole;Public;186 rue Sainte Catherine;VILLAGE;59495 LEFFRINCKOUCKE;59495;59340;Leffrinckoucke;059;09;32;1;1;;;;0328261929;;;ce.0590440H@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590340200075;;51.03599472917282, 2.4634296454055447;SANS OBJET;Nord;Lille;Hauts-de-France;662278.9;7104606.0;EPSG:2154;Circonscription d'inspection du 1er degré de Dunkerque-Centre;51.03599472917282;2.4634296454055447;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593666P;;;0592804C;;;09105;DUNKERQUE FLANDRE
0590454Y;Ecole primaire Maurice Lénné;Ecole;Public;711 rue Gabriel Péri;;59194 ANHIERS;59194;59007;Anhiers;059;09;32;1;1;;;;0327890709;;;ce.0590454Y@ac-lille.fr;0;0;0;;;;;;;;;;;;;;;21590007700029;;50.40606967660392, 3.1558296259115077;SANS OBJET;Nord;Lille;Hauts-de-France;711093.5;7034286.9;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Cuincy;50.40606967660392;3.1558296259115077;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593251N;;;0592770R;;;09106;DOUAISIS
0590458C;Ecole maternelle Marcel Cachin;Ecole;Public;20 rue Wambrouck;;59580 ANICHE;59580;59008;Aniche;059;09;32;1;0;;;;0327925602;;;ce.0590458C@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590008500105;;50.33107571436803, 3.252262258920121;SANS OBJET;Nord;Lille;Hauts-de-France;717985.2;7025951.3;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Cantin;50.33107571436803;3.252262258920121;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0590002G;;;0592769P;;;09106;DOUAISIS
