rentree_scolaire;uai;secteur;ips;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;0590131X;public;76.0;Collège Jean Jaurès;Lille;059;59350;Nord;Lille;50.64124280357082,3.011501851353845
2023-2024;0593251N;public;97.0;Collège Docteur Ernest Schaffner;Roost-Warendin;059;59509;Nord;Lille;50.41353020793823,3.108330457286914
2023-2024;0593666P;public;106.1;Collège Gaspard Malo;Dunkerque;059;59183;Nord;Lille;51.05153241629934,2.4234896505024253
2023-2024;0593672W;public;94.9;Collège de L'Ostrevant;Bouchain;059;59092;Nord;Lille;50.28074903042848,3.306319883127561
2023-2024;0594412A;public;82.0;Collège Jean Jaurès;Vieux-Condé;059;59616;Nord;Lille;50.46468284594241,3.566440487065162
2023-2024;0594418G;public;74.3;Collège Charles de Gaulle;Jeumont;059;59324;Nord;Lille;50.3030779347669,4.090250109750892
2023-2024;0595175E;public;99.7;Collège Fénelon;Cambrai;059;59122;Nord;Lille;50.1757149656532,3.2289302757058485
2023-2024;0590030M;public;99.1;Collège du Septentrion;Bray-Dunes;059;59107;Nord;Lille;51.07081620306653,2.5132403618887618
2023-2024;0590164H;public;86.9;Collège Jean Zay;Dunkerque;059;59183;Nord;Lille;51.019704052139566,2.338029756501514
2023-2024;0590224Y;public;104.3;Collège Jean-Baptiste Carpeaux;Valenciennes;059;59606;Nord;Lille;50.36055942062598,3.518971221639622
2023-2024;0592959W;privé sous contrat;113.6;Collège privé Saint Joseph;Comines;059;59152;Nord;Lille;50.7616047561587,3.004620284383206
2023-2024;0593182N;public;97.7;Collège Jules Ferry;Coudekerque-Branche;059;59155;Nord;Lille;51.0188532063078,2.3750902211911415
2023-2024;0593217B;privé sous contrat;99.6;Collège privé Charles Péguy;Tourcoing;059;59599;Nord;Lille;50.72016588541881,3.151410525301725
2023-2024;0593474F;public;109.8;Collège Professeur Albert Debeyre;Marquette-lez-Lille;059;59386;Nord;Lille;50.680405802996674,3.0678305726762205
2023-2024;0593991T;public;121.8;Collège Théodore Monod;Lesquin;059;59343;Nord;Lille;50.58997542740828,3.1108169574698388
2023-2024;0594301E;public;77.5;Collège Paul Eluard;Beuvrages;059;59079;Nord;Lille;50.38544700442605,3.500880459857708
2023-2024;0594304H;public;89.1;Collège Marie Curie;Saint-Amand-les-Eaux;059;59526;Nord;Lille;50.45062444729204,3.432100353409098
2023-2024;0595169Y;public;78.2;Collège Emile Zola;Wattrelos;059;59650;Nord;Lille;50.70685190477116,3.2315225356010413
2023-2024;0595382E;privé sous contrat;125.3;Collège privé Saint Jude;Armentières;059;59017;Nord;Lille;50.688057701204606,2.8745904581322375
2023-2024;0595399Y;privé sous contrat;105.9;Collège privé Notre-Dame de Grâce;Maubeuge;059;59392;Nord;Lille;50.276791021567234,3.9759099873260664
2023-2024;0596177U;privé sous contrat;108.4;Collège privé Sainte Claire;Lille;059;59350;Nord;Lille;50.63445759446208,3.06902154747252
2023-2024;0597004T;public;79.3;Collège Miriam Makeba;Lille;059;59350;Nord;Lille;50.61837243885932,3.064760509722426
2023-2024;0620082C;public;90.2;Collège Monsigny;Fauquembergues;062;62325;Pas-de-Calais;Lille;50.60166097882675,2.100550431011966
2023-2024;0620088J;public;86.3;Collège Les Quatre Vents;Guînes;062;62397;Pas-de-Calais;Lille;50.864755312754816,1.867720513867491
2023-2024;0622087G;public;80.6;Collège Blaise Pascal;Mazingarbe;062;62563;Pas-de-Calais;Lille;50.46164187069234,2.7194599930897345
2023-2024;0622268D;public;82.7;Collège Jean Moulin;Barlin;062;62083;Pas-de-Calais;Lille;50.4579458797513,2.622779628122749
2023-2024;0622428C;public;84.7;Collège Edmond Rostand;Bruay-la-Buissière;062;62178;Pas-de-Calais;Lille;50.487227461465054,2.5555504164428298
2023-2024;0622867E;public;94.0;Collège Antoine de Saint-Exupéry;Douvrin;062;62276;Pas-de-Calais;Lille;50.50840485922295,2.8409710420355943
2023-2024;0623865P;public;110.0;Collège Louis Blériot;Sangatte;062;62774;Pas-de-Calais;Lille;50.956178611815155,1.8170695183429149
2023-2024;0590002G;public;82.0;Collège Théodore Monod;Aniche;059;59008;Nord;Lille;50.33181566173207,3.247760687010971
2023-2024;0592917A;privé sous contrat;150.1;Collège privé Jeanne d'Arc;Roubaix;059;59512;Nord;Lille;50.678182975936785,3.167429374984203
2023-2024;0592960X;privé sous contrat;134.2;Collège privé Notre-Dame;Cysoing;059;59168;Nord;Lille;50.569808666277225,3.215230309475054
2023-2024;0594386X;public;104.5;Collège Le Parc;Haubourdin;059;59286;Nord;Lille;50.61483502539845,2.976610619776166
2023-2024;0595166V;public;124.8;Collège Hergé;Gondecourt;059;59266;Nord;Lille;50.54306193496924,2.9760594502681053
2023-2024;0595190W;public;75.6;Collège Gayant;Douai;059;59178;Nord;Lille;50.40191279499383,3.124549464711073
2023-2024;0595302T;privé sous contrat;92.0;Collège privé Saint-Exupéry;Roubaix;059;59512;Nord;Lille;50.684564996260974,3.167460562765493
2023-2024;0620079Z;public;79.2;Collège Henri Wallon;Divion;062;62270;Pas-de-Calais;Lille;50.47042647481198,2.4967699897743376
2023-2024;0620104B;public;93.3;Collège Gabriel de La Gorce;Hucqueliers;062;62463;Pas-de-Calais;Lille;50.57063043455061,1.9052804919735513
2023-2024;0620130E;public;93.4;Collège des Marches de l'Artois;Marquion;062;62559;Pas-de-Calais;Lille;50.20925634002819,3.0846299930795484
2023-2024;0620165T;public;99.3;Collège de l'Esplanade;Saint-Omer;062;62765;Pas-de-Calais;Lille;50.75259992362606,2.2467630129949914
2023-2024;0622095R;public;79.1;Collège Jean Moulin;Le Portel;062;62667;Pas-de-Calais;Lille;50.70825662279591,1.5844998448274454
2023-2024;0622100W;privé sous contrat;117.2;Collège privé Sainte Marie;Aire-sur-la-Lys;062;62014;Pas-de-Calais;Lille;50.63987492080987,2.3986006385933534
2023-2024;0622121U;privé sous contrat;111.5;Collège privé Saint Louis;Saint-Pol-sur-Ternoise;062;62767;Pas-de-Calais;Lille;50.38038661655527,2.3377303699610135
2023-2024;0622125Y;privé sous contrat;134.1;Collège privé Les Louez Dieu;Anzin-Saint-Aubin;062;62037;Pas-de-Calais;Lille;50.31376101578666,2.753930423050152
2023-2024;0622140P;privé sous contrat;121.6;Collège privé Sainte Jeanne d'Arc;Laventie;062;62491;Pas-de-Calais;Lille;50.6276120072444,2.772460279758551
2023-2024;0622261W;public;79.0;Collège Pierre Cuallacci;Frévent;062;62361;Pas-de-Calais;Lille;50.27639042933437,2.2847005068762374
2023-2024;0623312N;public;90.7;Collège René Cassin;Lillers;062;62516;Pas-de-Calais;Lille;50.55895892470479,2.471610200879648
2023-2024;0623919Y;public;86.3;Collège Léonard de Vinci;Carvin;062;62215;Pas-de-Calais;Lille;50.4968304789591,2.9759097447360388
2023-2024;0590091D;public;89.4;Collège Lili Keller-Rosenberg;Halluin;059;59279;Nord;Lille;50.77419348507758,3.1283265476621334
2023-2024;0590107W;public;98.7;Collège Jean Moulin;Iwuy;059;59322;Nord;Lille;50.23296688119976,3.327169411828922
2023-2024;0622117P;privé sous contrat;130.2;Collège privé Sainte Austreberthe;Montreuil-sur-Mer;062;62588;Pas-de-Calais;Lille;50.463671602004325,1.7655622957323893
2023-2024;0622578R;public;93.1;Collège Jean Rostand;Sains-en-Gohelle;062;62737;Pas-de-Calais;Lille;50.444295459961204,2.6823894284960037
2023-2024;0623310L;public;97.8;Collège Gambetta;Arras;062;62041;Pas-de-Calais;Lille;50.28838885743881,2.7762496929984435
2023-2024;0624343J;privé sous contrat;116.3;Collège privé Saint Vincent;Arras;062;62041;Pas-de-Calais;Lille;50.29440608237028,2.766420307606159
2023-2024;0590151U;public;87.9;Collège Ernest Coutelle;Maubeuge;059;59392;Nord;Lille;50.27794947812394,3.971009768841562
2023-2024;0590155Y;public;100.5;Collège Descartes;Mons-en-Baroeul;059;59410;Nord;Lille;50.6356690520175,3.1070795554789647
2023-2024;0590190L;public;64.4;Collège Jean-Baptiste Lebas;Roubaix;059;59512;Nord;Lille;50.68101814010843,3.1830697839593847
2023-2024;0592895B;privé sous contrat;131.0;Collège privé Sainte Marie;Linselles;059;59352;Nord;Lille;50.73996706399982,3.0778406675862393
