rentree_scolaire;code_region;region;code_de_l_academie;academie;code_du_departement;departement;code_insee_de_la_commune;nom_de_la_commune;uai;secteur;ips;ips_national_prive;ips_national_public;ips_national;ips_academique_prive;ips_academique_public;ips_academique;ips_departemental_prive;ips_departemental_public;ips_departemental;num_ligne;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62128;BIACHE SAINT VAAST;0620744X;public;99.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51023.0;Ecole élémentaire Groupe la Fontaine;Biache-Saint-Vaast;062;62128;Pas-de-Calais;Lille;50.31290976060826,2.9394305057451278
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62317;ETAING;0620752F;public;97.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51025.0;Ecole primaire;Etaing;062;62317;Pas-de-Calais;Lille;50.27602619821677,3.0018998671278396
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62566;MENNEVILLE;0620894K;public;96.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51057.0;Ecole primaire RPI des deux monts (RPI 153);Menneville;062;62566;Pas-de-Calais;Lille;50.6747298277969,1.8615002407344654
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62366;GAUCHIN LEGAL;0620947T;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51069.0;Ecole élémentaire RPI 104;Gauchin-Légal;062;62366;Pas-de-Calais;Lille;50.415438386323586,2.5809904725714197
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62617;NOEUX LES MINES;0620981E;public;90.8;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51078.0;Ecole élémentaire Louis Pergaud;Noeux-les-Mines;062;62617;Pas-de-Calais;Lille;50.48276485793978,2.6612102888403952
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62516;LILLERS;0621022Z;public;92.2;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51087.0;Ecole primaire Les Sources;Lillers;062;62516;Pas-de-Calais;Lille;50.579363783878144,2.466873874862699
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62498;LENS;0621349E;public;69.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51173.0;Ecole élémentaire Sophie Berthelot;Lens;062;62498;Pas-de-Calais;Lille;50.43884619730412,2.814029836067796
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62669;PRESSY;0621828A;public;99.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51287.0;Ecole élémentaire du Donjon RPI 124;Pressy;062;62669;Pas-de-Calais;Lille;50.47516895590703,2.3962693193501194
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62113;BERLES MONCHEL;0621902F;public;101.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51313.0;Ecole élémentaire des Hauts de Scarpe RPI 14;Berles-Monchel;062;62113;Pas-de-Calais;Lille;50.34562465085839,2.537289698390539
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62560;MARQUISE;0622645N;privé sous contrat;115.8;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51411.0;Ecole primaire privée Sainte Thérèse;Marquise;062;62560;Pas-de-Calais;Lille;50.81314199111447,1.7059097122148221
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62612;NEUVIREUIL;0622673U;privé sous contrat;120.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51426.0;Ecole primaire privée Sainte Thérèse;Neuvireuil;062;62612;Pas-de-Calais;Lille;50.35090033637604,2.9094499704153596
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62451;HEUCHIN;0622780K;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51478.0;Ecole primaire RPI 115;Heuchin;062;62451;Pas-de-Calais;Lille;50.474337349108545,2.2679805476074595
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62001;ABLAIN SAINT NAZAIRE;0622990N;public;113.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51530.0;Ecole primaire des Verts Monts;Ablain-Saint-Nazaire;062;62001;Pas-de-Calais;Lille;50.39278075310535,2.7126595642985114
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62277;DROCOURT;0623147J;public;73.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51557.0;Ecole primaire Maurice Thorez;Drocourt;062;62277;Pas-de-Calais;Lille;50.39689583740511,2.934349591938647
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62119;BETHUNE;0623405P;public;85.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51592.0;Ecole élémentaire Jules Michelet;Béthune;062;62119;Pas-de-Calais;Lille;50.52579748912527,2.6475906829793905
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62737;SAINS EN GOHELLE;0623897Z;public;96.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51734.0;Ecole élémentaire Jaurès-Curie;Sains-en-Gohelle;062;62737;Pas-de-Calais;Lille;50.448121921804564,2.6840101976569133
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59024;AUBERCHICOURT;0595836Y;public;90.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50097.0;Groupe scolaire élémentaire Louise Michel - Pierre-Gilles de Gennes;Auberchicourt;059;59024;Nord;Lille;50.33175198990467,3.234400293937264
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59032;AULNOY LEZ VALENCIENNES;0595925V;public;99.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50098.0;Ecole primaire Jules Ferry;Aulnoy-lez-Valenciennes;059;59032;Nord;Lille;50.332128623671686,3.530300391479106
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59160;CRESPIN;0595929Z;public;84.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50101.0;Ecole élémentaire Centre-Parc-Bellevue;Crespin;059;59160;Nord;Lille;50.41641563174804,3.6602500422100914
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59650;WATTRELOS;0595942N;public;77.9;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50110.0;Ecole primaire Pierre Brossolette;Wattrelos;059;59650;Nord;Lille;50.70211918991136,3.236850262964797
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59212;ESTAIRES;0595977B;privé sous contrat;100.9;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50114.0;Ecole primaire privée Notre-Dame de Lourdes;Estaires;059;59212;Nord;Lille;50.64669210160703,2.720543253424862
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59606;VALENCIENNES;0596018W;privé sous contrat;121.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50125.0;Ecole primaire privée Marie-Immaculée;Valenciennes;059;59606;Nord;Lille;50.353832849202036,3.5230698333004016
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59606;VALENCIENNES;0596213H;public;73.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50142.0;Ecole élémentaire Jean Moulin;Valenciennes;059;59606;Nord;Lille;50.369256439112256,3.516590083640256
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59084;BLARINGHEM;0596375J;public;101.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50163.0;Ecole primaire Lino Ventura;Blaringhem;059;59084;Nord;Lille;50.68992986782826,2.404760178052728
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59130;CAPPELLE BROUCK;0596391B;public;87.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50167.0;Ecole primaire;Cappelle-Brouck;059;59130;Nord;Lille;50.90275343377283,2.2218906077545584
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59586;TEMPLEUVE EN PEVELE;0596492L;privé sous contrat;131.7;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50192.0;Ecole primaire privée Saint Martin;Templeuve-en-Pévèle;059;59586;Nord;Lille;50.52551846262654,3.1715694206838503
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59271;GRANDE SYNTHE;0596545U;public;80.3;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50223.0;Ecole primaire Francisco Ferrer;Grande-Synthe;059;59271;Nord;Lille;51.00324279983775,2.2955202146108005
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59437;NOYELLES LES SECLIN;0596585M;public;121.7;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50226.0;Ecole primaire publique Alphonse Theeten;Noyelles-lès-Seclin;059;59437;Nord;Lille;50.57658175490166,3.011370074601032
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59491;RAISMES;0596635S;public;72.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50239.0;Ecole primaire publique Anatole France;Raismes;059;59491;Nord;Lille;50.40152798212484,3.514330332745139
