rentree_scolaire;uai;secteur;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;0593040J;privé sous contrat;130.4;117.0;;Lycée polyvalent privé Notre-Dame de La Providence;Orchies;059;59449;Nord;Lille;50.47972398187029,3.243689498557268
2023-2024;0590111A;public;;76.8;;Lycée professionnel Sonia Delaunay;Lille;059;59350;Nord;Lille;50.6490983316144,2.9965333782839103
2023-2024;0590122M;public;93.5;83.1;;Lycée polyvalent Valentine Labbé;La Madeleine;059;59368;Nord;Lille;50.647633412189506,3.072290231459998
2023-2024;0590263R;public;;79.1;;Lycée professionnel Fernand Léger;Coudekerque-Branche;059;59155;Nord;Lille;51.02287563312792,2.3982900617678395
2023-2024;0593006X;privé sous contrat;128.2;110.2;;Lycée polyvalent privé Notre-Dame d'Annay;Lille;059;59350;Nord;Lille;50.64245917440617,3.060049591957433
2023-2024;0593060F;privé sous contrat;;93.6;;Lycée Polyvalent Privé Institut Nicolas Barré - Lycée des Métiers de la Sécurité-prévention, de l'Automobile et de la Maintenance des matériels;Armentières;059;59017;Nord;Lille;50.70109039350268,2.8843906263178902
2023-2024;0593063J;privé sous contrat;;102.9;;Lycée professionnel privé Sainte Marie;Bailleul;059;59043;Nord;Lille;50.737396985832,2.7316801850628307
2023-2024;0620030W;public;;81.1;;Lycée professionnel Philippe Auguste;Bapaume;062;62080;Pas-de-Calais;Lille;50.10453002989584,2.8429104995098187
2023-2024;0620257T;public;;83.0;;Lycée professionnel Savary - Ferry;Arras;062;62041;Pas-de-Calais;Lille;50.284322879423684,2.749883658980143
2023-2024;0590073J;public;112.8;;;Lycée général et technologique Auguste Angellier;Dunkerque;059;59183;Nord;Lille;51.04742707320568,2.418563018096749
2023-2024;0590116F;public;117.0;;;Lycée général Fénelon;Lille;059;59350;Nord;Lille;50.6316239331111,3.0576506350141512
2023-2024;0590186G;public;;69.2;;Lycée professionnel Turgot - Lycée des Métiers des Services Administratifs et de la Relation Client;Roubaix;059;59512;Nord;Lille;50.695975253712376,3.1800105385844977
2023-2024;0590217R;public;;76.6;;Lycée professionnel Sévigné - Lycée des Métiers;Tourcoing;059;59599;Nord;Lille;50.73139961025742,3.1631904121695897
2023-2024;0592944E;privé sous contrat;145.8;;;Lycée général privé Saint Adrien La Salle;Villeneuve-d'Ascq;059;59009;Nord;Lille;50.6283189898316,3.14895941190851
2023-2024;0592965C;privé sous contrat;108.8;93.8;;Lycée Polyvalent privé EIC Industriel et Commercial;Tourcoing;059;59599;Nord;Lille;50.7208193236069,3.1505106777928478
2023-2024;0593139S;privé sous contrat;120.2;;;Lycée général privé Sacré-Coeur;Tourcoing;059;59599;Nord;Lille;50.72269625777332,3.1492200738704463
2023-2024;0620059C;public;91.2;76.2;;Lycée professionnel Léo Lagrange;Bully-les-Mines;062;62186;Pas-de-Calais;Lille;50.43788404286816,2.71239976939606
2023-2024;0623328F;public;;76.5;;Lycée Professionnel Henri Senez - Lycée des Métiers;Hénin-Beaumont;062;62427;Pas-de-Calais;Lille;50.404301797466154,2.964260263514632
2023-2024;0623377J;public;;76.1;;Lycée professionnel du bâtiment François Hennebique;Liévin;062;62510;Pas-de-Calais;Lille;50.426112667516925,2.7553890946712016
2023-2024;0620017G;public;85.9;;;Lycée général et technologique Lavoisier;Auchel;062;62048;Pas-de-Calais;Lille;50.50703541195921,2.4761693733313406
2023-2024;0590182C;public;86.2;;;Lycée général Baudelaire;Roubaix;059;59512;Nord;Lille;50.67944483054058,3.167980164666059
