identifiant_de_l_etablissement,nom_etablissement,nom_commune,code_commune,libelle_departement,statut_public_prive,appartenance_education_prioritaire,date_ouverture,nom_circonscription,categorie
0597265B,Ecole primaire Ariane Capon,Lille,59350,Nord,Public,REP,2022-09-01,Circonscription d'inspection du 1er degré de Lille 1 Nord,ouverte depuis 2021 (trop récente)
0597392P,Ecole élémentaire George Sand,Lille,59350,Nord,Public,REP+,2025-09-01,Circonscription d'inspection du 1er degré de Lille1 Héllemmes,ouverte depuis 2021 (trop récente)
0597414N,Groupe scolaire Hélène Carrère d'Encausse,Marly,59383,Nord,Public,,2025-07-01,Circonscription d'inspection du 1er degré de Valenciennes-Saint Saulve,ouverte depuis 2021 (trop récente)
0597419U,Groupe scolaire Jacques Chirac,Tourcoing,59599,Nord,Public,REP+,2025-09-01,Circonscription d'inspection du 1er degré de Tourcoing-Est,ouverte depuis 2021 (trop récente)
0624516X,Ecole élémentaire RPI 83,Estréelles,62315,Pas-de-Calais,Public,,2021-09-01,Circonscription d'inspection du 1er degré de Montreuil,ouverte depuis 2021 (trop récente)
0597295J,"Ecole primaire privée hors contrat ""La petite école au bord du Monde"" - niveau Primaire",Aubers,59025,Nord,Privé,,2022-12-29,Circonscription d'inspection du 1er degré de Lille2-Annoeullin,privé hors contrat (jamais dans l'IPS)
0597133H,Ecole privée hors contrat de la Liberté - école élémentaire,Berlaimont,59068,Nord,Privé,,2019-10-02,Circonscription d'inspection du 1er degré d'Avesnes Aulnoye,privé hors contrat (jamais dans l'IPS)
0596901F,Ecole primaire privée hors contrat du Blanc Mesnil,Croix,59163,Nord,Privé,,2009-09-01,Circonscription d'inspection du 1er degré de Roubaix-Wasquehal,privé hors contrat (jamais dans l'IPS)
0597275M,Ecole primaire privée hors contrat Altra Schola - niveau primaire,Englefontaine,59194,Nord,Privé,,2022-06-20,Circonscription d'inspection du 1er degré d'Avesnes-Le Quesnoy,privé hors contrat (jamais dans l'IPS)
0597045M,Ecole élémentaire privée hors contrat Al Fitra,Halluin,59279,Nord,Privé,,2015-09-01,Circonscription d'inspection du 1er degré de Tourcoing-Roncq,privé hors contrat (jamais dans l'IPS)
0595825L,Ecole primaire privée hors contrat Notre-Dame de Fatima,La Chapelle-D'Armentières,59143,Nord,Privé,,1989-09-01,Circonscription d'inspection du 1er degré de Lille2-Armentières,privé hors contrat (jamais dans l'IPS)
0597183M,Ecole primaire privée hors contrat Arborescences de LILLE - Ecole primaire,Lille,59350,Nord,Privé,,2020-09-24,Circonscription d'inspection du 1er degré de Lille2-Lomme,privé hors contrat (jamais dans l'IPS)
0597370R,Ecole élémentaire privée hors contrat CERENE - niveau primaire,Lille,59350,Nord,Privé,,2024-09-17,Circonscription d'inspection du 1er degré de Lille1 Héllemmes,privé hors contrat (jamais dans l'IPS)
0597195A,Ecole primaire privée hors contrat l'Oeil du Loup - Ecole privée alternative,Prisches,59474,Nord,Privé,,2020-10-13,Circonscription d'inspection du 1er degré d'Avesnes Aulnoye,privé hors contrat (jamais dans l'IPS)
0597102Z,Ecole élémentaire privée hors contrat musulmane éco-citoyenne Mine de savoirs,Raismes,59491,Nord,Privé,,2017-09-01,Circonscription d'inspection du 1er degré de Valenciennes-Saint Amand,privé hors contrat (jamais dans l'IPS)
