Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;Effectifs;IPS;Ecart-type de l'IPS
2022-2023;LILLE;059;NORD;0590006L;COLLEGE LES ROCHAMBELLES;59014;ANZIN;public;524.0;75.7;23.4
2022-2023;LILLE;059;NORD;0590007M;COLLEGE PIERRE GILLES DE GENNES;59459;PETITE FORET;public;525.0;90.2;31.5
2022-2023;LILLE;059;NORD;0590046E;COLLEGE JEAN MONNET;59139;CAUDRY;public;693.0;81.2;28.0
2022-2023;LILLE;059;NORD;0590055P;COLLEGE ALFRED JENNEPIN;59157;COUSOLRE;public;153.0;94.0;27.5
2022-2023;LILLE;059;NORD;0590088A;COLLEGE JULES VERNE;59271;GRANDE SYNTHE;public;380.0;75.6;22.7
2022-2023;LILLE;059;NORD;0590142J;COLLEGE MARGUERITE YOURCENAR;59375;MARCHIENNES;public;317.0;111.0;32.2
2022-2023;LILLE;059;NORD;0590155Y;COLLEGE DESCARTES;59410;MONS EN BAROEUL;public;398.0;99.1;41.5
2022-2023;LILLE;059;NORD;0590157A;COLLEGE SAINT EXUPERY;59447;ONNAING;public;464.0;81.8;26.0
2022-2023;LILLE;059;NORD;0590159C;COLLEGE DU PEVELE;59449;ORCHIES;public;896.0;115.6;37.0
2022-2023;LILLE;059;NORD;0590164H;COLLEGE JEAN ZAY;59183;DUNKERQUE;public;273.0;87.4;27.6
2022-2023;LILLE;059;NORD;0590190L;COLLEGE JEAN BAPTISTE LEBAS;59512;ROUBAIX;public;470.0;64.6;18.5
2022-2023;LILLE;059;NORD;0592634T;COLLEGE ANTOINE DE SAINT EXUPERY AUGUSTE PERIER;59291;HAUTMONT;public;585.0;78.3;29.3
2022-2023;LILLE;059;NORD;0592714E;COLLEGE MENDES FRANCE;59599;TOURCOING;public;375.0;69.0;22.8
2022-2023;LILLE;059;NORD;0592715F;COLLEGE CHARLES EISEN;59606;VALENCIENNES;public;457.0;104.9;41.5
