Année scolaire;Code région;Code région Insee;Libellé région académique;Code académie;Libellé académie;Code département;Libellé département;Code commune Insee;Libellé commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;Latitude et longitude WGS84
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59008;ANICHE;0590002G;COLLEGE THEODORE MONOD;public;82.2;25.3;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.33181566173207, 3.247760687010971
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590068D;COLLEGE JULES FERRY;public;88.2;31.0;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.38175061469219, 3.0610115023258024
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59239;FLINES LEZ RACHES;0590082U;COLLEGE JEAN MOULIN;public;113.3;34.2;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.42710776071974, 3.184340322301246
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59269;GOUZEAUCOURT;0590087Z;COLLEGE PHARAMOND SAVARY;public;97.0;30.3;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.05717546786334, 3.1281674339819734
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59350;LILLE;0590115E;COLLEGE FRANKLIN;public;104.8;44.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.62910544167586, 3.070409601593442
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59512;ROUBAIX;0590183D;COLLEGE MADAME DE SEVIGNE;public;66.0;19.2;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.693177620016684, 3.164919554423088
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59606;VALENCIENNES;0592715F;COLLEGE CHARLES EISEN;public;113.9;40.4;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.365060906353754, 3.5320595657419096
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59220;FACHES THUMESNIL;0592830F;COLLEGE JEAN ZAY;public;86.9;30.6;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.60722395909997, 3.063599555138808
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59457;PERENCHIES;0592901H;COLLEGE PRIVE SAINTE MARIE;privé sous contrat;122.4;31.1;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.66847009944456, 2.9771094874562762
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59053;BAVAY;0592924H;COLLEGE PRIVE NOTRE DAME DE L ASSOMPTION;privé sous contrat;117.7;31.9;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.29775936616095, 3.7931281724438533
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59043;BAILLEUL;0592930P;COLLEGE PRIVE IMMACULEE CONCEPTION;privé sous contrat;119.8;30.9;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.739086043548625, 2.7297706785714615
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59168;CYSOING;0592960X;COLLEGE PRIVE NOTRE DAME;privé sous contrat;135.5;26.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.569808666277225, 3.215230309475054
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59350;LILLE;0593131H;COLLEGE PRIVE SAINT JOSEPH;privé sous contrat;104.3;33.3;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.62928989778109, 3.107342498302463
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59559;SEBOURG;0593144X;COLLEGE PRIVE SAINTE ANNE;privé sous contrat;119.9;33.7;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.3441221086375, 3.643660302490088
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59580;STEENVOORDE;0593147A;COLLEGE PRIVE NOTRE DAME DE LOURDES;privé sous contrat;113.4;31.2;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.811472454642704, 2.5804995793663936
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59647;WATTEN;0593159N;COLLEGE PRIVE SACRE COEUR;privé sous contrat;106.8;28.7;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.83391331367516, 2.2106302829503464
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59410;MONS EN BAROEUL;0593178J;COLLEGE FRANCOIS RABELAIS;public;71.4;27.1;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.641505858918435, 3.1151264135860846
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59009;VILLENEUVE D ASCQ;0593198F;COLLEGE PRIVE COMMUNAUTAIRE;privé sous contrat;112.3;33.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.65687147188959, 3.135390066643664
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59360;LOOS;0593233U;COLLEGE PROFESSEUR ALBERT DEBEYRE;public;93.3;33.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.61198061344932, 3.0212300656807765
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59507;RONCHIN;0593237Y;COLLEGE GERNEZ RIEUX;public;95.6;34.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.59900639074089, 3.091456659932265
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59650;WATTRELOS;0593242D;COLLEGE GUSTAVE NADAUD;public;80.4;21.7;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.70884740732559, 3.1978302784174524
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59152;COMINES;0593244F;COLLEGE PHILIPPE DE COMMYNES;public;82.8;31.0;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.75911346571574, 3.0121371917609854
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59392;MAUBEUGE;0593254S;COLLEGE JULES VERNE;public;67.6;22.9;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.290125601829985, 3.9636805802247674
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59220;FACHES THUMESNIL;0593476H;COLLEGE JEAN MERMOZ;public;112.8;37.4;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.59610598148052, 3.0720398652486036
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59122;CAMBRAI;0593488W;COLLEGE LAMARTINE;public;88.5;32.8;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.158508690819055, 3.263580630801944
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0593494C;COLLEGE BORIS VIAN;public;90.3;27.9;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;51.01693601648694, 2.3900903125484936
