Rentrée scolaire;Code région;Région;Code de l'académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59009;VILLENEUVE D ASCQ;0590180A;ECOLE ELEMENTAIRE JEAN MERMOZ;public;68.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16681.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59008;ANICHE;0590303J;ECOLE ELEMENTAIRE FRANCOIS WARTEL;public;78.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16682.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59017;ARMENTIERES;0590306M;ECOLE ELEMENTAIRE LEO LAGRANGE NIVEAU 2;public;91.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16683.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59036;AVESNES SUR HELPE;0590310S;ECOLE PRIMAIRE CAYEUX;public;78.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16684.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59043;BAILLEUL;0590312U;ECOLE ELEMENTAIRE PASTEUR;public;96.7;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16685.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59099;BOUSIES;0590313V;ECOLE ELEMENTAIRE ANDRE DUCARNE;public;104.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16686.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59123;CAMPHIN EN CAREMBAULT;0590315X;ECOLE PRIMAIRE JEAN MACE;public;121.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16687.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59132;CARNIERES;0590317Z;ECOLE PRIMAIRE;public;95.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16688.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59172;DENAIN;0590318A;ECOLE PRIMAIRE BERTHELOT;public;71.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16689.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59179;DOUCHY LES MINES;0590319B;ECOLE ELEMENTAIRE DU CENTRE;public;88.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16690.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59183;DUNKERQUE;0590320C;ECOLE PRIMAIRE ANDRE NITA;public;71.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16691.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59190;ELESMES;0590321D;ECOLE ELEMENTAIRE CLAUDE BOUQUIAUX RPI 8;public;100.6;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16692.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59202;ERQUINGHEM LYS;0590322E;ECOLE ELEMENTAIRE DES ENFANTS D ERCAN;public;103.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16693.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59220;FACHES THUMESNIL;0590324G;ECOLE ELEMENTAIRE PASTEUR CURIE;public;94;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16694.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59229;FERON;0590328L;ECOLE PRIMAIRE JEAN CLAUDE MAHY;public;112;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16695.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59233;FLAUMONT WAUDRECHIES;0590329M;ECOLE PRIMAIRE CHAUFFOUR RPI 29;public;82.7;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16696.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59244;FONTAINE NOTRE DAME;0590331P;ECOLE PRIMAIRE DU CANTON DE CHEMILLE;public;101.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16697.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59165;CUINCY;0590362Y;ECOLE ELEMENTAIRE JOLIOT CURIE;public;110.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16698.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590368E;ECOLE ELEMENTAIRE D APPLICATION ANDRIEU PARENT;public;93.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16699.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590373K;ECOLE ELEMENTAIRE FRANCOIS LEMAIRE;public;82;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16700.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59001;ABANCOURT;0590375M;ECOLE PRIMAIRE;public;114.7;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16701.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590380T;ECOLE ELEMENTAIRE JULES ET LEON MAURICE;public;71.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16702.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590381U;ECOLE ELEMENTAIRE EUGENE LENGLET;public;62.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16703.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590382V;ECOLE REGIONALE DU PREMIER DEGRE BATELIERS ET FORAINS INTERNAT D EXCELLENCE DE DOUAI;public;77.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16704.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590383W;ECOLE ELEMENTAIRE FERDINAND BUISSON;public;64.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16705.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59211;ESQUERCHIN;0590384X;ECOLE PRIMAIRE YVES DUTEIL;public;107.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16706.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59234;FLERS EN ESCREBIEUX;0590386Z;ECOLE ELEMENTAIRE ANTOINE DE SAINT EXUPERY;public;90.1;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16707.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59329;LAMBRES LEZ DOUAI;0590392F;ECOLE ELEMENTAIRE D APPLICATION GALLIENI;public;96.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16708.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59489;RAIMBEAUCOURT;0590400P;ECOLE PRIMAIRE VICTOR HUGO LES TILLEULS;public;101.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16709.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0590423P;ECOLE ELEMENTAIRE CHARLIE CHAPLIN;public;79.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16710.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0590424R;ECOLE ELEMENTAIRE PAUL ELUARD;public;77.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16711.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0590425S;ECOLE ELEMENTAIRE MAURICE MILLON;public;87;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16712.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0590426T;ECOLE ELEMENTAIRE MARCEL PAGNOL;public;93.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16713.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0590427U;ECOLE ELEMENTAIRE GEORGES BRASSENS;public;89.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16714.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0590428V;ECOLE ELEMENTAIRE RAYMOND QUENEAU;public;97;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16715.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59340;LEFFRINCKOUCKE;0590438F;ECOLE PRIMAIRE RENE BONPAIN;public;100.1;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16716.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59340;LEFFRINCKOUCKE;0590440H;ECOLE PRIMAIRE ALBERT FAVRESSE;public;104.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16717.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59003;AIBES;0590445N;ECOLE PRIMAIRE;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16718.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59007;ANHIERS;0590454Y;ECOLE PRIMAIRE MAURICE LENNE;public;84.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16719.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59011;ANNOEULLIN;0590471S;ECOLE PRIMAIRE ANNE FRANK;public;117.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16720.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59013;ANSTAING;0590479A;ECOLE PRIMAIRE ANDREE CHEDID;public;121.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16721.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59014;ANZIN;0590483E;ECOLE PRIMAIRE CHARLES DE GAULLE;public;79;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16722.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59014;ANZIN;0590488K;ECOLE ELEMENTAIRE VOLTAIRE ANDRE GILLIARD;public;86.1;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16723.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59143;LA CHAPELLE D ARMENTIERES;0590500Y;GROUPE SCOLAIRE LOUIS BARTIER;public;97.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16724.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59017;ARMENTIERES;0590509H;ECOLE ELEMENTAIRE ANATOLE FRANCE;public;74.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16725.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59017;ARMENTIERES;0590519U;ECOLE ELEMENTAIRE JEAN MACE;public;77.6;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16726.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59018;ARNEKE;0590522X;ECOLE PRIMAIRE;public;107.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16727.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59023;AUBENCHEUL AU BAC;0590531G;ECOLE ELEMENTAIRE HENRI MATISSE RPI 23;public;102.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16728.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59026;AUBIGNY AU BAC;0590539R;ECOLE PRIMAIRE JEAN DE LA FONTAINE;public;93.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16729.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59027;AUBRY DU HAINAUT;0590540S;ECOLE PRIMAIRE;public;105.7;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16730.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59033;AULNOYE AYMERIES;0590552E;ECOLE ELEMENTAIRE PIERRE SEMARD;public;79.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16731.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59033;AULNOYE AYMERIES;0590557K;ECOLE ELEMENTAIRE PAUL STIEVENART;public;90.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16732.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59034;AVELIN;0590558L;ECOLE PRIMAIRE ALPHONSE DAUDET;public;126.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16733.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59035;AVESNELLES;0590563S;ECOLE ELEMENTAIRE;public;94;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16734.0
