Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;Type de lycée;Effectifs voie GT;Effectifs voie PRO;Effectifs Ensemble GT-PRO;IPS voie GT;IPS voie PRO;IPS Ensemble GT-PRO;Ecart-type de l'IPS voie GT;Ecart-type de l'IPS voie PRO
2022-2023;LILLE;059;NORD;0590005K;LYCEE PROFESSIONNEL PIERRE JOSEPH FONTAINE;59014;ANZIN;public;LP;;572.0;572.0;;71.9;71.9;;20.2
2022-2023;LILLE;059;NORD;0590035T;LYCEE GENERAL ET TECHNOLOGIQUE FENELON;59122;CAMBRAI;public;LEGT;710.0;;710.0;106.9;;106.9;33.4;
2022-2023;LILLE;059;NORD;0590060V;LYCEE GENERAL ET TECHNOLOGIQUE ALFRED KASTLER;59172;DENAIN;public;LEGT;450.0;;450.0;88.7;;88.7;28.4;
2022-2023;LILLE;059;NORD;0590072H;LYCEE GENERAL ET TECHNOLOGIQUE DE L EUROPE;59183;DUNKERQUE;public;LEGT;819.0;;819.0;89.7;;89.7;29.5;
2022-2023;LILLE;059;NORD;0590093F;LYCEE POLYVALENT BEAUPRE LYCEE DES METIERS DE LA PLASTURGIE;59286;HAUBOURDIN;public;LPO;1040.0;362.0;1402.0;113.7;88.6;107.2;32.9;24.0
2022-2023;LILLE;059;NORD;0590101P;LYCEE GENERAL ET TECHNOLOGIQUE DES FLANDRES;59295;HAZEBROUCK;public;LEGT;1173.0;;1173.0;114.6;;114.6;33.3;
2022-2023;LILLE;059;NORD;0590143K;LYCEE GENERAL YVES KERNANEC;59378;MARCQ EN BAROEUL;public;LEGT;709.0;;709.0;127.2;;127.2;36.6;
2022-2023;LILLE;059;NORD;0590185F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION DES SERVICES ADMINISTRATIFS ET DE LA RELATION AUX CLIENTS;59512;ROUBAIX;public;LPO;484.0;320.0;804.0;72.2;73.7;72.8;21.4;24.3
2022-2023;LILLE;059;NORD;0590192N;LYCEE POLYVALENT ERNEST COUTEAUX;59526;SAINT AMAND LES EAUX;public;LPO;778.0;173.0;951.0;107.0;84.9;103.0;34.0;25.8
2022-2023;LILLE;059;NORD;0590198V;LYCEE PROFESSIONNEL GEORGES GUYNEMER;59183;DUNKERQUE;public;LP;;304.0;304.0;;78.5;78.5;;23.2
2022-2023;LILLE;059;NORD;0590207E;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS PASTEUR;59574;SOMAIN;public;LEGT;913.0;;913.0;100.2;;100.2;33.1;
2022-2023;LILLE;059;NORD;0590216P;LYCEE PROFESSIONNEL LE CORBUSIER;59599;TOURCOING;public;LP;;380.0;380.0;;86.7;86.7;;29.2
2022-2023;LILLE;059;NORD;0590221V;LYCEE GENERAL ET TECHNOLOGIQUE HENRI WALLON;59606;VALENCIENNES;public;LEGT;1000.0;;1000.0;102.0;;102.0;38.2;
2022-2023;LILLE;059;NORD;0590233H;LYCEE POLYVALENT EMILE ZOLA;59650;WATTRELOS;public;LPO;408.0;197.0;605.0;83.5;76.0;81.1;26.1;20.6
2022-2023;LILLE;059;NORD;0590258K;LYCEE GENERAL ET TECHNOLOGIQUE GASTON BERGER;59350;LILLE;public;LEGT;329.0;;329.0;86.0;;86.0;29.6;
2022-2023;LILLE;059;NORD;0590270Y;LYCEE PROFESSIONNEL DU HAINAUT LYCEE DES METIERS DE L AUTOMOBILE LYCEE DES METIERS DE LA CHAUDRONNERIE;59606;VALENCIENNES;public;LP;;749.0;749.0;;79.7;79.7;;24.7
