rentree_scolaire;code_region;code_region_insee;region_academique;code_academie;academie;code_du_departement;departement;code_insee_de_la_commune;nom_de_la_commune;uai;nom_de_l_etablissement;secteur;type_de_lycee;ips_voie_gt;ips_voie_pro;ips_post_bac;ips_etab;ecart_type_voie_gt;ecart_type_voie_pro;ecart_type_etablissement;ips_national_legt;ips_national_lpo;ips_national_lp;ips_national_legt_prive;ips_national_legt_public;ips_national_lpo_prive;ips_national_lpo_public;ips_national_lp_prive;ips_national_lp_public;ips_academique_legt;ips_academique_lpo;ips_academique_lp;ips_academique_legt_prive;ips_academique_legt_public;ips_academique_lpo_prive;ips_academique_lpo_public;ips_academique_lp_prive;ips_academique_lp_public;ips_departemental_legt;ips_departemental_lpo;ips_departemental_lp;ips_departemental_legt_prive;ips_departemental_legt_public;ips_departemental_lpo_prive;ips_departemental_lpo_public;ips_departemental_lp_prive;ips_departemental_lp_public
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59033;AULNOYE AYMERIES;0590015W;LYCEE PROFESSIONNEL PIERRE ET MARIE CURIE;public;LP;;79.6;;79.5;;24.1;23.9;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59036;AVESNES SUR HELPE;0590018Z;LYCEE POLYVALENT JESSE DE FOREST;public;LPO;101;76;87.8;96.8;31.6;25.2;31.7;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59139;CAUDRY;0590044C;LYCEE POLYVALENT JOSEPH MARIE JACQUARD;public;LPO;87.4;71.8;76.2;81.5;30;22;28.4;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59183;DUNKERQUE;0590071G;LYCEE GENERAL ET TECHNOLOGIQUE JEAN BART;public;LEGT;106.7;;106.1;106.6;35;;35.2;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59295;HAZEBROUCK;0590102R;LYCEE PROFESSIONNEL DES MONTS DE FLANDRE;public;LP;;83.3;79.4;82.9;;24.1;23.8;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59350;LILLE;0590116F;LYCEE GENERAL FENELON;public;LEGT;117;;;117;39.9;;39.9;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59481;LE QUESNOY;0590168M;LYCEE POLYVALENT EUGENE THOMAS;public;LPO;118.8;88.3;;114.4;35.2;24.6;35.5;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59512;ROUBAIX;0590181B;LYCEE GENERAL ET TECHNOLOGIQUE MAXENCE VAN DER MEERSCH;public;LEGT;95.4;;;95.4;36;;36;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59512;ROUBAIX;0590182C;LYCEE GENERAL BAUDELAIRE;public;LEGT;86.2;;;86.2;31.6;;31.6;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
2023-2024;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59512;ROUBAIX;0590184E;LYCEE GENERAL JEAN ROSTAND;public;LEGT;85.9;;97.1;92.3;33.7;;34.3;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;112.4;99.8;80.3;131.3;105.8;108.5;94.4;96.6;78.5;115.0;98.5;81.1;131.4;107.4;106.2;92.6;97.1;78.3
