Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2016-2017;LILLE;059;NORD;0590046E;COLLEGE JEAN MONNET;59139;CAUDRY;public;81.2;
2016-2017;LILLE;059;NORD;0590055P;COLLEGE ALFRED JENNEPIN;59157;COUSOLRE;public;92.1;
2016-2017;LILLE;059;NORD;0590058T;COLLEGE PAUL LANGEVIN;59170;DECHY;public;79.9;
2016-2017;LILLE;059;NORD;0590062X;COLLEGE VILLARS;59172;DENAIN;public;67.0;
2016-2017;LILLE;059;NORD;0590068D;COLLEGE JULES FERRY;59178;DOUAI;public;88.8;
2016-2017;LILLE;059;NORD;0590091D;COLLEGE ROBERT SCHUMAN;59279;HALLUIN;public;81.3;
2016-2017;LILLE;059;NORD;0590099M;COLLEGE AUGUSTE PERIER;59291;HAUTMONT;public;72.9;
2016-2017;LILLE;059;NORD;0590103S;COLLEGE FERNANDE BENOIST;59295;HAZEBROUCK;public;82.7;
2016-2017;LILLE;059;NORD;0590109Y;COLLEGE EUGENE THOMAS;59324;JEUMONT;public;74.0;
2016-2017;LILLE;059;NORD;0590115E;COLLEGE FRANKLIN;59350;LILLE;public;93.1;
2016-2017;LILLE;059;NORD;0590190L;COLLEGE JEAN BAPTISTE LEBAS;59512;ROUBAIX;public;58.7;
2016-2017;LILLE;059;NORD;0590200X;COLLEGE ROBESPIERRE;59183;DUNKERQUE;public;81.9;
2016-2017;LILLE;059;NORD;0590206D;COLLEGE DU SOLREZIS;59572;SOLRE LE CHATEAU;public;91.4;
2016-2017;LILLE;059;NORD;0592896C;COLLEGE PRIVE SAINT JEAN;59368;LA MADELEINE;privé sous contrat;122.2;
2016-2017;LILLE;059;NORD;0592955S;COLLEGE PRIVE NOTRE DAME;59094;BOURBOURG;privé sous contrat;108.2;
2016-2017;LILLE;059;NORD;0592959W;COLLEGE PRIVE SAINT JOSEPH;59152;COMINES;privé sous contrat;105.2;
2018-2019;LILLE;059;NORD;0590002G;COLLEGE THEODORE MONOD;59008;ANICHE;public;76.0;
2018-2019;LILLE;059;NORD;0590006L;COLLEGE JULES FERRY;59014;ANZIN;public;68.3;
2018-2019;LILLE;059;NORD;0590057S;COLLEGE PAUL ELUARD;59168;CYSOING;public;125.9;
2018-2019;LILLE;059;NORD;0590062X;COLLEGE VILLARS;59172;DENAIN;public;68.2;
2018-2019;LILLE;059;NORD;0590090C;COLLEGE PIERRE ET MARIE CURIE;59273;GRAVELINES;public;92.4;
