Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
2021-2022;LILLE;062;PAS-DE-CALAIS;0624002N;ECOLE ELEMENTAIRE DESNOS CASANOVA;62065;AVION;public;83.9
2021-2022;LILLE;062;PAS-DE-CALAIS;0624005S;ECOLE PRIMAIRE PUBLIQUE SUZANNE LANOY;62133;BILLY MONTIGNY;public;90.5
2021-2022;LILLE;062;PAS-DE-CALAIS;0624006T;ECOLE ELEMENTAIRE LEULIETTE EURVIN;62160;BOULOGNE SUR MER;public;95.1
2021-2022;LILLE;062;PAS-DE-CALAIS;0624008V;ECOLE ELEMENTAIRE LES ALOUETTES;62186;BULLY LES MINES;public;80.4
2021-2022;LILLE;062;PAS-DE-CALAIS;0624009W;ECOLE PRIMAIRE ANTOINE PARMENTIER;62193;CALAIS;public;94.8
2021-2022;LILLE;062;PAS-DE-CALAIS;0624012Z;ECOLE ELEMENTAIRE ARMAND FALLIERES;62427;HENIN BEAUMONT;public;75.8
2021-2022;LILLE;062;PAS-DE-CALAIS;0624015C;ECOLE ELEMENTAIRE JEAN MACE HENRI BARBUSSE;62737;SAINS EN GOHELLE;public;80.9
2021-2022;LILLE;062;PAS-DE-CALAIS;0624115L;ECOLE PRIMAIRE;62383;GOUY SOUS BELLONNE;public;111.6
2021-2022;LILLE;062;PAS-DE-CALAIS;0624120S;ECOLE PRIMAIRE LES GORGES BLEUES;62584;MONT BERNANCHON;public;114.5
2021-2022;LILLE;062;PAS-DE-CALAIS;0624121T;ECOLE PRIMAIRE MICHEL DE MONTAIGNE;62620;NORRENT FONTES;public;105.9
2021-2022;LILLE;062;PAS-DE-CALAIS;0624211R;ECOLE ELEMENTAIRE JOSEPH LARDE RPI 112;62600;NEDON;public;101.3
2021-2022;LILLE;062;PAS-DE-CALAIS;0624226G;ECOLE ELEMENTAIRE VICTOR HUGO;62865;VITRY EN ARTOIS;public;92.5
2021-2022;LILLE;062;PAS-DE-CALAIS;0624461M;ECOLE PRIMAIRE THERESE CAUCHE;62498;LENS;public;70.7
2021-2022;LILLE;059;NORD;0593763V;ECOLE PRIMAIRE PRIVEE SAINT JEAN BAPTISTE;59044;BAISIEUX;privé sous contrat;122.5
2021-2022;LILLE;059;NORD;0593773F;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;59067;BERGUES;privé sous contrat;112.0
2021-2022;LILLE;059;NORD;0593790Z;ECOLE PRIMAIRE PRIVEE NOTRE DAME DE LA TREILLE;59220;FACHES THUMESNIL;privé sous contrat;132.7
2021-2022;LILLE;059;NORD;0593797G;ECOLE PRIMAIRE PRIVEE NOTRE DAME SAINT LOUIS;59249;FOURMIES;privé sous contrat;100.1
2021-2022;LILLE;059;NORD;0593807T;ECOLE PRIMAIRE PRIVEE ABBE LEMIRE;59295;HAZEBROUCK;privé sous contrat;109.1
2021-2022;LILLE;059;NORD;0593826N;ECOLE PRIMAIRE PRIVEE JEANNE D ARC;59339;LEERS;privé sous contrat;122.4
2021-2022;LILLE;059;NORD;0593830T;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH DE LA MATERNELLE AU CE1;59350;LILLE;privé sous contrat;84.8
2021-2022;LILLE;059;NORD;0593854U;ECOLE PRIMAIRE PRIVEE SAINT PIERRE;59598;TOUFFLERS;privé sous contrat;136.1
2021-2022;LILLE;059;NORD;0593856W;ECOLE PRIMAIRE PRIVEE CARDINAL LIENART;59599;TOURCOING;privé sous contrat;73.6
2021-2022;LILLE;059;NORD;0593904Y;ECOLE PRIMAIRE PRIVEE JEAN BOSCO NOTRE DAME DES JEUNES;59378;MARCQ EN BAROEUL;privé sous contrat;144.4
2021-2022;LILLE;059;NORD;0593916L;ECOLE PRIMAIRE PRIVEE SAINTE JEANNE D ARC;59421;MOUVAUX;privé sous contrat;146.5
2021-2022;LILLE;059;NORD;0593917M;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH SACRE COEUR;59426;NEUVILLE EN FERRAIN;privé sous contrat;109.7
2021-2022;LILLE;059;NORD;0593954C;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;59350;LILLE;privé sous contrat;94.8
2021-2022;LILLE;059;NORD;0593959H;ECOLE PRIMAIRE PRIVEE SAINT DENIS;59350;LILLE;privé sous contrat;138.1
2021-2022;LILLE;059;NORD;0593977C;ECOLE PRIMAIRE PRIVEE NOTRE DAME;59360;LOOS;privé sous contrat;103.4
2021-2022;LILLE;059;NORD;0593978D;ECOLE PRIMAIRE PRIVEE SAINTE GENEVIEVE;59368;LA MADELEINE;privé sous contrat;139.0
2021-2022;LILLE;059;NORD;0593996Y;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;59071;BERSEE;privé sous contrat;127.2
2021-2022;LILLE;059;NORD;0593998A;ECOLE PRIMAIRE PRIVEE DE LA SAINTE UNION;59178;DOUAI;privé sous contrat;119.8
2021-2022;LILLE;059;NORD;0593999B;ECOLE PRIMAIRE PRIVEE SAINT VINCENT DE PAUL;59178;DOUAI;privé sous contrat;83.0
2021-2022;LILLE;059;NORD;0594022B;ECOLE PRIMAIRE PRIVEE SAINT PAUL;59272;GRAND FORT PHILIPPE;privé sous contrat;92.1
2021-2022;LILLE;059;NORD;0594028H;ECOLE PRIMAIRE PRIVEE SAINT ALPHONSE;59279;HALLUIN;privé sous contrat;116.2
2021-2022;LILLE;059;NORD;0594035R;ECOLE PRIMAIRE PRIVEE SAINT JULES;59295;HAZEBROUCK;privé sous contrat;98.6
2021-2022;LILLE;059;NORD;0594057P;ECOLE PRIMAIRE PRIVEE SAINTE GERTRUDE;59499;REXPOËDE;privé sous contrat;106.7
2021-2022;LILLE;059;NORD;0594087X;ECOLE PRIMAIRE PRIVEE NOTRE DAME DU PERPETUEL SECOURS SAINTE THERESE;59553;SANTES;privé sous contrat;133.0
2021-2022;LILLE;059;NORD;0594093D;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH;59581;STEENWERCK;privé sous contrat;117.9
2021-2022;LILLE;059;NORD;0594114B;ECOLE PRIMAIRE PRIVEE SAINT JEAN;59599;TOURCOING;privé sous contrat;86.4
2021-2022;LILLE;059;NORD;0594120H;ECOLE PRIMAIRE PRIVEE NOTRE DAME;59606;VALENCIENNES;privé sous contrat;130.2
2021-2022;LILLE;059;NORD;0594121J;ECOLE PRIMAIRE PRIVEE SAINT JEAN BAPTISTE DE LA SALLE;59606;VALENCIENNES;privé sous contrat;126.8
2021-2022;LILLE;059;NORD;0594122K;ECOLE PRIMAIRE PRIVEE SAINTE MARIE;59611;VERLINGHEM;privé sous contrat;132.0
2021-2022;LILLE;059;NORD;0594127R;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH;59624;VILLERS OUTREAUX;privé sous contrat;104.2
2021-2022;LILLE;059;NORD;0594130U;ECOLE PRIMAIRE PRIVEE LA PROVIDENCE;59636;WAMBRECHIES;privé sous contrat;127.8
2021-2022;LILLE;059;NORD;0594142G;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH;59663;WORMHOUT;privé sous contrat;108.7
2021-2022;LILLE;059;NORD;0594174S;ECOLE PRIMAIRE ROGER SALENGRO;59017;ARMENTIERES;public;69.2
2021-2022;LILLE;059;NORD;0594175T;ECOLE ELEMENTAIRE JOLIOT CURIE;59037;AVESNES LES AUBERT;public;85.3
2021-2022;LILLE;059;NORD;0594177V;ECOLE PRIMAIRE REGROUPEMENT PEDAGOGIQUE INTERCOMMUNAL CONCENTRE (RPC) DE BELLIGNIES;59065;BELLIGNIES;public;110.7
2021-2022;LILLE;059;NORD;0594180Y;ECOLE PRIMAIRE PIERRE ET MARIE CURIE;59136;LE CATEAU CAMBRESIS;public;76.6
2021-2022;LILLE;059;NORD;0594189H;ECOLE PRIMAIRE PONT DE LA DEULE;59234;FLERS EN ESCREBIEUX;public;72.8
2021-2022;LILLE;059;NORD;0594202X;ECOLE ELEMENTAIRE JULES FERRY;59378;MARCQ EN BAROEUL;public;103.6
2021-2022;LILLE;059;NORD;0594205A;ECOLE PRIMAIRE JEAN MABUSE;59392;MAUBEUGE;public;63.8
2021-2022;LILLE;059;NORD;0594215L;ECOLE ELEMENTAIRE LEON MARLOT;59512;ROUBAIX;public;76.2
2021-2022;LILLE;059;NORD;0594248X;ECOLE PRIMAIRE PRIVEE NOTRE DAME;59599;TOURCOING;privé sous contrat;107.2
2021-2022;LILLE;059;NORD;0594279F;ECOLE PRIMAIRE;59337;LEDERZEELE;public;103.5
2021-2022;LILLE;059;NORD;0594320A;ECOLE ELEMENTAIRE BLAISE PASCAL;59271;GRANDE SYNTHE;public;76.6
2021-2022;LILLE;059;NORD;0594351J;GROUPE SCOLAIRE LOUIS DUVANT;59606;VALENCIENNES;public;80.3
2021-2022;LILLE;059;NORD;0594352K;ECOLE PRIMAIRE REGROUPEMENT PEDAGOGIQUE INTERCOMMUNAL CONCENTRE (RPC) DE VILLERS OUTREAUX;59624;VILLERS OUTREAUX;public;67.4
2021-2022;LILLE;059;NORD;0594462E;ECOLE PRIMAIRE DANIEL VINCENT;59012;ANOR;public;78.8
2021-2022;LILLE;059;NORD;0594476V;ECOLE ELEMENTAIRE MARCEL PAGNOL;59299;HEM;public;94.4
2021-2022;LILLE;059;NORD;0594485E;ECOLE ELEMENTAIRE JACQUES BREL;59557;SAULTAIN;public;108.9
2021-2022;LILLE;059;NORD;0594491L;ECOLE ELEMENTAIRE JOLIOT CURIE;59616;VIEUX CONDE;public;74.2
2021-2022;LILLE;059;NORD;0594492M;ECOLE ELEMENTAIRE MAURICE THOREZ;59651;WAVRECHAIN SOUS DENAIN;public;76.3
2021-2022;LILLE;059;NORD;0594555F;ECOLE ELEMENTAIRE ROUSSEAU MME BRUNSCHVICG;59350;LILLE;public;108.9
2021-2022;LILLE;059;NORD;0594567U;ECOLE PRIMAIRE LES PEUPLIERS;59527;SAINT ANDRE LEZ LILLE;public;117.4
2021-2022;LILLE;059;NORD;0594572Z;ECOLE PRIMAIRE SIMONE VEIL;59648;WATTIGNIES;public;69.1
2021-2022;LILLE;059;NORD;0594592W;ECOLE PRIMAIRE JULES COPIN;59194;ENGLEFONTAINE;public;96.2
2021-2022;LILLE;059;NORD;0594597B;ECOLE ELEMENTAIRE EMILE COORNAERT;59309;HONDSCHOOTE;public;89.8
2021-2022;LILLE;059;NORD;0594600E;ECOLE PRIMAIRE;59411;MONS EN PEVELE;public;124.1
2021-2022;LILLE;059;NORD;0594604J;ECOLE PRIMAIRE JEAN LOUP CHRETIEN;59470;PREMESQUES;public;129.7
2021-2022;LILLE;059;NORD;0594688A;ECOLE ELEMENTAIRE ALBERT CAMUS;59224;FECHAIN;public;98.6
2021-2022;LILLE;059;NORD;0594696J;ECOLE PRIMAIRE RICHARD WAGNER;59350;LILLE;public;63.9
2021-2022;LILLE;059;NORD;0594703S;ECOLE ELEMENTAIRE DERAIN BETTIGNIES;59378;MARCQ EN BAROEUL;public;107.1
2021-2022;LILLE;059;NORD;0594707W;GROUPE SCOLAIRE DU CHAMP FLEURI;59390;MASNY;public;75.8
2021-2022;LILLE;059;NORD;0594712B;ECOLE ELEMENTAIRE HAMEAU DE CUVINOT;59447;ONNAING;public;64.9
2021-2022;LILLE;059;NORD;0594724P;ECOLE ELEMENTAIRE DU CENTRE;59544;SAINT SAULVE;public;94.5
2021-2022;LILLE;059;NORD;0594727T;ECOLE PRIMAIRE CENTRE;59584;TAISNIERES SUR HON;public;106.1
2021-2022;LILLE;059;NORD;0594781B;ECOLE ELEMENTAIRE TOULOUSE LAUTREC;59009;VILLENEUVE D ASCQ;public;114.6
2021-2022;LILLE;059;NORD;0594787H;ECOLE ELEMENTAIRE DU CENTRE;59632;WALLERS;public;98.7
2021-2022;LILLE;059;NORD;0594903J;ECOLE ELEMENTAIRE MARIUS ASSEZ;59002;ABSCON;public;81.4
2021-2022;LILLE;059;NORD;0594912U;GROUPE SCOLAIRE THOMAS PESQUET;59098;BOUSBECQUE;public;96.8
2021-2022;LILLE;059;NORD;0594915X;ECOLE PRIMAIRE RENE COTY;59122;CAMBRAI;public;87.9
2021-2022;LILLE;059;NORD;0594935U;ECOLE PRIMAIRE HUGO MAINTENON LANOY BLIN;59328;LAMBERSART;public;118.8
2021-2022;LILLE;059;NORD;0594952M;ECOLE PRIMAIRE MARCEL DHOT;59393;MAULDE;public;101.9
2021-2022;LILLE;059;NORD;0594957T;ECOLE PRIMAIRE;59455;PAILLENCOURT;public;101.3
2021-2022;LILLE;059;NORD;0594959V;ECOLE ELEMENTAIRE PAUL MEURISSE;59183;DUNKERQUE;public;76.2
2021-2022;LILLE;059;NORD;0594964A;ECOLE PRIMAIRE LACORRE FERRY;59507;RONCHIN;public;96.8
2021-2022;LILLE;059;NORD;0594979S;ECOLE ELEMENTAIRE CLAUDE BERNARD;59009;VILLENEUVE D ASCQ;public;75.8
2021-2022;LILLE;059;NORD;0594981U;ECOLE PRIMAIRE DE LA RHONELLE;59626;VILLERS POL;public;124.9
2021-2022;LILLE;059;NORD;0595015F;ECOLE ELEMENTAIRE PAUL BERT;59122;CAMBRAI;public;82.3
2021-2022;LILLE;059;NORD;0595021M;ECOLE ELEMENTAIRE RENE CASSIN;59239;FLINES LEZ RACHES;public;115.3
2021-2022;LILLE;059;NORD;0595032Z;ECOLE ELEMENTAIRE ALBERT CAMUS;59327;LALLAING;public;78.6
2021-2022;LILLE;059;NORD;0595038F;ECOLE ELEMENTAIRE SUZANNE LANOY;59486;RACHES;public;92.1
2021-2022;LILLE;059;NORD;0595040H;ECOLE PRIMAIRE;59541;SAINT PYTHON;public;93.2
2021-2022;LILLE;059;NORD;0595114N;ECOLE ELEMENTAIRE GUSTAVE ANSART;59589;THIANT;public;97.6
2021-2022;LILLE;059;NORD;0595195B;ECOLE ELEMENTAIRE DE MORMAL;59068;BERLAIMONT;public;91.4
2021-2022;LILLE;059;NORD;0595215Y;ECOLE PRIMAIRE PICASSO BREL;59508;RONCQ;public;107.1
2021-2022;LILLE;059;NORD;0595230P;ECOLE PRIMAIRE DU VAL DE LA PEENE;59054;BAVINCHOVE;public;97.9
2021-2022;LILLE;059;NORD;0595231R;ECOLE PRIMAIRE PASTEUR HUGO;59086;BOESCHEPE;public;102.0
2021-2022;LILLE;059;NORD;0595373V;ECOLE PRIMAIRE PAUL VERLAINE 16;59009;VILLENEUVE D ASCQ;public;80.2
2021-2022;LILLE;059;NORD;0595375X;ECOLE ELEMENTAIRE DU TERNE;59659;WIGNEHIES;public;76.1
2021-2022;LILLE;059;NORD;0595504M;ECOLE PRIMAIRE DE L ATRIUM;59053;BAVAY;public;105.1
2021-2022;LILLE;059;NORD;0595507R;ECOLE PRIMAIRE RENE CLAIR;59009;VILLENEUVE D ASCQ;public;108.2
2021-2022;LILLE;059;NORD;0595606Y;ECOLE PRIMAIRE CHARLES DE COSTER THYL L ESPIEGLE;59043;BAILLEUL;public;98.4
2021-2022;LILLE;059;NORD;0595655B;ECOLE PRIMAIRE PAUL BERT;59599;TOURCOING;public;71.3
2021-2022;LILLE;059;NORD;0595715S;ECOLE ELEMENTAIRE ANDRE MALRAUX;59163;CROIX;public;119.7
2021-2022;LILLE;059;NORD;0595836Y;GROUPE SCOLAIRE ELEMENTAIRE LOUISE MICHEL PIERRE GILLES DE GENNES;59024;AUBERCHICOURT;public;88.5
2021-2022;LILLE;059;NORD;0595929Z;ECOLE ELEMENTAIRE CENTRE PARC BELLEVUE;59160;CRESPIN;public;86.1
2021-2022;LILLE;059;NORD;0596116C;ECOLE PRIMAIRE PRIVEE SAINT VINCENT DE PAUL;59350;LILLE;privé sous contrat;90.0
2021-2022;LILLE;059;NORD;0596208C;ECOLE ELEMENTAIRE FRANCOIS LAUNAY;59350;LILLE;public;66.2
2021-2022;LILLE;059;NORD;0596296Y;ECOLE PRIMAIRE JEAN MICHEL BILLAUT;59094;BOURBOURG;public;73.9
2021-2022;LILLE;059;NORD;0596305H;ECOLE PRIMAIRE PRIVEE SAINT AUGUSTIN;59512;ROUBAIX;privé sous contrat;69.6
2021-2022;LILLE;059;NORD;0596332M;ECOLE ELEMENTAIRE ANTOINE DE SAINT EXUPERY;59299;HEM;public;66.6
2021-2022;LILLE;059;NORD;0596365Y;ECOLE PRIMAIRE;59516;RUBROUCK;public;105.4
2021-2022;LILLE;059;NORD;0596376K;ECOLE ELEMENTAIRE PAINLEVE;59350;LILLE;public;71.8
2021-2022;LILLE;059;NORD;0596391B;ECOLE PRIMAIRE;59130;CAPPELLE BROUCK;public;84.1
2021-2022;LILLE;059;NORD;0596463E;ECOLE ELEMENTAIRE MALRAUX PASTEUR;59414;MONTIGNY EN OSTREVENT;public;91.5
2021-2022;LILLE;059;NORD;0596464F;ECOLE PRIMAIRE TILL L ESPIEGLE;59135;CASSEL;public;86.5
2021-2022;LILLE;059;NORD;0596469L;ECOLE ELEMENTAIRE JEAN MARIE BRISON;59484;QUIEVRECHAIN;public;80.0
2021-2022;LILLE;059;NORD;0596470M;ECOLE ELEMENTAIRE JULES MOUSSERON;59179;DOUCHY LES MINES;public;76.1
2021-2022;LILLE;059;NORD;0596471N;GROUPE SCOLAIRE JEANNE DE FLANDRE;59386;MARQUETTE LEZ LILLE;public;116.3
2021-2022;LILLE;059;NORD;0596491K;ECOLE PRIMAIRE PRIVEE SAINT AMAND SAINTE MARIE;59043;BAILLEUL;privé sous contrat;104.5
2021-2022;LILLE;059;NORD;0596497S;ECOLE PRIMAIRE DE LA CITE;59064;BELLAING;public;103.0
2021-2022;LILLE;059;NORD;0596498T;ECOLE PRIMAIRE ODETTE ET LOUIS PROUVOYEUR;59284;HASNON;public;109.1
2021-2022;LILLE;059;NORD;0596511G;ECOLE ELEMENTAIRE CLAUDE MONET;59112;BRUAY SUR L ESCAUT;public;81.5
2021-2022;LILLE;059;NORD;0596520S;ECOLE PRIMAIRE MICHEL VERIEPE JULES FERRY;59016;ARMBOUTS CAPPEL;public;109.4
2021-2022;LILLE;059;NORD;0596531D;GROUPE SCOLAIRE AMBROISE PARE;59426;NEUVILLE EN FERRAIN;public;105.7
2021-2022;LILLE;059;NORD;0596540N;ECOLE PRIMAIRE CHARLES DE GAULLE;59476;PROVILLE;public;106.6
2021-2022;LILLE;059;NORD;0596546V;ECOLE PRIMAIRE PUBLIQUE PAUL LANGEVIN;59136;LE CATEAU CAMBRESIS;public;81.9
2021-2022;LILLE;059;NORD;0596623D;ECOLE PRIMAIRE PUBLIQUE RENAN BUISSON;59017;ARMENTIERES;public;90.3
2021-2022;LILLE;059;NORD;0596625F;ECOLE PRIMAIRE PUBLIQUE HENRI MATISSE;59553;SANTES;public;115.4
2021-2022;LILLE;059;NORD;0596636T;ECOLE PRIMAIRE PUBLIQUE JULES HENRI LENGRAND;59383;MARLY;public;83.3
2021-2022;LILLE;059;NORD;0596640X;ECOLE PRIMAIRE PUBLIQUE ANATOLE FRANCE LA BRUYERE;59220;FACHES THUMESNIL;public;96.7
2021-2022;LILLE;059;NORD;0596651J;ECOLE PRIMAIRE PUBLIQUE PAUL LAFARGUE PAUL LANGEVIN;59314;HORNAING;public;88.9
2021-2022;LILLE;059;NORD;0596652K;ECOLE PRIMAIRE PUBLIQUE OMER OLLIVIER;59143;LA CHAPELLE D ARMENTIERES;public;84.9
2021-2022;LILLE;059;NORD;0596783C;ECOLE PRIMAIRE PUBLIQUE LE PETIT PRINCE;59367;LYS LEZ LANNOY;public;99.2
2021-2022;LILLE;062;PAS-DE-CALAIS;0620413M;ECOLE PRIMAIRE HAMEAU TREPIED JEAN LEVISSE;62261;CUCQ;public;91.4
2021-2022;LILLE;062;PAS-DE-CALAIS;0620434K;ECOLE PRIMAIRE CHARLES PERRAULT;62765;SAINT OMER;public;84.1
2021-2022;LILLE;062;PAS-DE-CALAIS;0620519C;ECOLE PRIMAIRE REGROUPEMENT PEDAGOGIQUE INTERCOMMUNAL CONCENTRE (RPC) DE BAPAUME;62080;BAPAUME;public;78.1
2021-2022;LILLE;062;PAS-DE-CALAIS;0620529N;ECOLE ELEMENTAIRE RPI 96;62387;GREVILLERS;public;95.7
2021-2022;LILLE;062;PAS-DE-CALAIS;0620530P;ECOLE PRIMAIRE RPI 94;62515;LIGNY THILLOY;public;96.4
2021-2022;LILLE;062;PAS-DE-CALAIS;0620553P;ECOLE ELEMENTAIRE JEAN MOULIN RPI 56;62493;LEBUCQUIERE;public;101.9
2021-2022;LILLE;062;PAS-DE-CALAIS;0620588C;ECOLE ELEMENTAIRE RPI 59;62343;FONTAINE LES CROISILLES;public;106.1
2021-2022;LILLE;062;PAS-DE-CALAIS;0620608Z;ECOLE PRIMAIRE VICTOR HUGO;62164;BOURLON;public;82.4
2021-2022;LILLE;062;PAS-DE-CALAIS;0620655A;ECOLE ELEMENTAIRE RPI 61;62663;POMMERA;public;93.2
2021-2022;LILLE;062;PAS-DE-CALAIS;0620686J;ECOLE ELEMENTAIRE CENTRE RPI 68;62589;MONT SAINT ELOI;public;108.3
2021-2022;LILLE;062;PAS-DE-CALAIS;0620724A;ECOLE ELEMENTAIRE RPI 51;62796;SIMENCOURT;public;111.2
2021-2022;LILLE;062;PAS-DE-CALAIS;0620744X;ECOLE ELEMENTAIRE GROUPE LA FONTAINE;62128;BIACHE SAINT VAAST;public;101.5
2021-2022;LILLE;062;PAS-DE-CALAIS;0620783P;ECOLE ELEMENTAIRE PAUL BERT;62119;BETHUNE;public;103.1
2021-2022;LILLE;062;PAS-DE-CALAIS;0620832T;ECOLE ELEMENTAIRE RPI 85;62286;ECQUEDECQUES;public;97.0
2021-2022;LILLE;062;PAS-DE-CALAIS;0620873M;ECOLE ELEMENTAIRE JEAN ROSTAND;62758;SAINT MARTIN BOULOGNE;public;70.6
2021-2022;LILLE;062;PAS-DE-CALAIS;0620883Y;ECOLE ELEMENTAIRE RPI 80;62179;BRUNEMBERT;public;102.3
2021-2022;LILLE;062;PAS-DE-CALAIS;0620945R;ECOLE PRIMAIRE JEAN MOULIN REGROUPEMENT PEDAGOGIQUE INTERCOMMUNAL CONCENTRE (RPC) DE FRESNICOURT LE DOLMEN;62356;FRESNICOURT LE DOLMEN;public;100.5
2021-2022;LILLE;062;PAS-DE-CALAIS;0620948U;ECOLE ELEMENTAIRE RPI 104;62441;HERMIN;public;96.0
2021-2022;LILLE;062;PAS-DE-CALAIS;0620967P;ECOLE PRIMAIRE JEAN MACE;62083;BARLIN;public;81.2
2021-2022;LILLE;062;PAS-DE-CALAIS;0620985J;ECOLE PRIMAIRE SUZANNE BLIN;62617;NOEUX LES MINES;public;66.2
2021-2022;LILLE;062;PAS-DE-CALAIS;0620994U;ECOLE PRIMAIRE DU CENTRE ANTOINE DE SAINT EXUPERY;62252;LA COUTURE;public;107.8
2021-2022;LILLE;062;PAS-DE-CALAIS;0621019W;ECOLE ELEMENTAIRE JACQUES PREVERT;62516;LILLERS;public;69.8
2021-2022;LILLE;062;PAS-DE-CALAIS;0621039T;ECOLE PRIMAIRE LES FLOTS;62408;HAMES BOUCRES;public;89.1
2021-2022;LILLE;062;PAS-DE-CALAIS;0621052G;ECOLE ELEMENTAIRE CONDE;62193;CALAIS;public;79.3
