Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;Type de lycée;IPS voie GT;IPS voie PRO;IPS Ensemble GT-PRO;Ecart-type de l'IPS voie GT;Ecart-type de l'IPS voie PRO
2016-2017;LILLE;59;NORD;0590005K;LYCEE PROFESSIONNEL PIERRE JOSEPH FONTAINE LYCEE DES METIERS DE LA CONDUITE ET DE LA MAINTENANCE DES SYSTEMES;59014;ANZIN;public;LP;;68.4;68.4;;
2016-2017;LILLE;59;NORD;0590015W;LYCEE PROFESSIONNEL PIERRE ET MARIE CURIE;59033;AULNOYE AYMERIES;public;LP;;70.9;70.9;;
2016-2017;LILLE;59;NORD;0590044C;LYCEE POLYVALENT JOSEPH MARIE JACQUARD;59139;CAUDRY;public;LPO;88.1;70.2;79.2;;
2016-2017;LILLE;59;NORD;0590098L;LYCEE PROFESSIONNEL PLACIDE COURTOY;59291;HAUTMONT;public;LP;;65.6;65.6;;
2016-2017;LILLE;59;NORD;0590102R;LYCEE PROFESSIONNEL DES MONTS DE FLANDRE LYCEE DES METIERS DE LA MAINTENANCE DES VEHICULES ET DES MATERIELS;59295;HAZEBROUCK;public;LP;;80.5;80.5;;
2016-2017;LILLE;59;NORD;0590116F;LYCEE GENERAL FENELON;59350;LILLE;public;LEGT;124.2;;124.2;;
2016-2017;LILLE;59;NORD;0590122M;LYCEE POLYVALENT VALENTINE LABBE LYCEE DES METIERS DE LA BIOLOGIE DE LA BIOCHIMIE ET DES BIOTECHNOLOGIES DE LA SANTE ET DU SOCIAL;59368;LA MADELEINE;public;LPO;92.6;77.7;88.1;;
2016-2017;LILLE;59;NORD;0590189K;LYCEE PROFESSIONNEL LAVOISIER;59512;ROUBAIX;public;LP;;65.0;65.0;;
2016-2017;LILLE;59;NORD;0590212K;LYCEE GENERAL;59599;TOURCOING;public;LEGT;100.2;;100.2;;
2016-2017;LILLE;59;NORD;0590221V;LYCEE GENERAL ET TECHNOLOGIQUE HENRI WALLON;59606;VALENCIENNES;public;LEGT;110.0;;110.0;;
2016-2017;LILLE;59;NORD;0590222W;LYCEE GENERAL ET TECHNOLOGIQUE WATTEAU;59606;VALENCIENNES;public;LEGT;116.5;;116.5;;
2016-2017;LILLE;59;NORD;0590264S;LYCEE PROFESSIONNEL ALFRED KASTLER LYCEE DES METIERS DE LA CONDUITE ET DE LA MAINTENANCE DES SYSTEMES;59172;DENAIN;public;LP;;70.3;70.3;;
2016-2017;LILLE;59;NORD;0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE DES METIERS ELECTRONIQUE ELECTROTECHNIQUE;59178;DOUAI;public;LP;;76.9;76.9;;
2016-2017;LILLE;59;NORD;0590266U;LYCEE PROFESSIONNEL CESAR BAGGIO LYCEE DES METIERS DES SCIENCES DE L INGENIEUR ET DU DEVELOPPEMENT DURABLE;59350;LILLE;public;LP;;80.8;80.8;;
2016-2017;LILLE;59;NORD;0590282L;LYCEE GENERAL ET TECHNOLOGIQUE JULES MOUSSERON LYCEE DES METIERS DU SANITAIRE ET SOCIAL;59172;DENAIN;public;LEGT;80.5;;80.5;;
2016-2017;LILLE;59;NORD;0592611T;LYCEE PROFESSIONNEL LOUIS BLERIOT LYCEE DES METIERS DU BATIMENT ET DES ENERGIES DURABLES;59122;CAMBRAI;public;LP;;71.7;71.7;;
2016-2017;LILLE;59;NORD;0592833J;LYCEE PROFESSIONNEL LES HAUTS DE FLANDRE;59560;SECLIN;public;LP;;81.5;81.5;;
2016-2017;LILLE;59;NORD;0592932S;LYCEE GENERAL PRIVE SAINTE MARIE;59056;BEAUCAMPS LIGNY;privé sous contrat;LEGT;136.9;;136.9;;
2016-2017;LILLE;59;NORD;0592980U;LYCEE POLYVALENT PRIVE EIC MARIE NOEL;59599;TOURCOING;privé sous contrat;LPO;83.3;73.7;77.6;;
2016-2017;LILLE;59;NORD;0593006X;LYCEE TECHNOLOGIQUE PRIVE NOTRE DAME D ANNAY;59350;LILLE;privé sous contrat;LPO;117.8;98.2;110.8;;
2016-2017;LILLE;59;NORD;0593015G;LYCEE PROFESSIONNEL PRIVE MARIA GORETTI;59328;LAMBERSART;privé sous contrat;LP;;80.7;80.7;;
2016-2017;LILLE;59;NORD;0593027V;LYCEE PROFESSIONNEL PRIVE INDUSTRIES LILLOISES LYCEE DES METIERS DE LA CONSTRUCTION DE L ENVIRONNEMENT ET DES ÉNERGIES;59350;LILLE;privé sous contrat;LP;;100.6;100.6;;
