type,uai,nom,commune,code_commune,departement,secteur,ips,annee,evolution,lat,lon,ips_gt,ips_pro,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
École,0596778X,Ecole primaire privée Jeannine Manuel,Marcq-en-Baroeul,59378,Nord,privé sous contrat,160.9,2024-2025,7.2,50.690701,3.12092,,,153.7,153.8,153.9,154.8,154.2,153.8,161.9,160.6,160.9,
École,0594066Z,Ecole primaire privée Jeanne d'Arc,Roubaix,59512,Nord,privé sous contrat,148.1,2024-2025,4.1,50.677755,3.16687,,,144.0,145.5,144.1,142.4,145.3,145.7,144.1,145.6,148.1,
École,0593904Y,Ecole primaire privée Jean Bosco - Notre Dame des Jeunes,Marcq-en-Baroeul,59378,Nord,privé sous contrat,147.5,2024-2025,2.5,50.680738,3.107323,,,145.0,144.9,145.9,146.8,146.0,144.4,146.2,146.5,147.5,
École,0597100X,Ecole européenne de Lille Métropole Jacques Delors - niveau école primaire,Marcq-en-Baroeul,59378,Nord,public,147.5,2024-2025,,50.662191,3.086763,,,,,,,,,,,147.5,
École,0593916L,Ecole primaire privée Sainte Jeanne d'Arc,Mouvaux,59421,Nord,privé sous contrat,147.0,2024-2025,2.1,50.702981,3.13441,,,144.9,143.9,143.7,145.1,143.8,146.5,145.8,146.6,147.0,
École,0593828R,Ecole primaire privée Saint Paul,Lille,59350,Nord,privé sous contrat,146.8,2024-2025,10.9,50.628233,3.049241,,,135.9,136.6,137.6,138.5,140.9,141.6,141.6,143.2,146.8,
École,0593982H,Ecole primaire privée Saint Aignan,Marcq-en-Baroeul,59378,Nord,privé sous contrat,145.8,2024-2025,3.1,50.665952,3.10712,,,142.7,142.6,143.0,143.5,142.5,141.8,144.5,145.7,145.8,
École,0596616W,Ecole primaire privée Saint Christophe,Marcq-en-Baroeul,59378,Nord,privé sous contrat,145.0,2024-2025,5.3,50.660685,3.10476,,,139.7,140.4,137.9,138.0,137.1,137.0,140.6,144.0,145.0,
École,0593872N,Ecole primaire privée Saint Henri,Villeneuve-d'Ascq,59009,Nord,privé sous contrat,144.7,2024-2025,11.5,50.660196,3.138369,,,133.2,136.0,137.9,135.7,139.3,141.0,138.1,141.2,144.7,
École,0593905Z,Ecole primaire privée Notre-Dame de Lourdes,Marcq-en-Baroeul,59378,Nord,privé sous contrat,143.8,2024-2025,8.0,50.677784,3.09087,,,135.8,136.5,138.1,137.2,137.4,136.3,139.8,140.9,143.8,
École,0596528A,Ecole primaire privée Saint Pierre d'Ascq,Villeneuve-d'Ascq,59009,Nord,privé sous contrat,143.8,2024-2025,10.3,50.618322,3.16184,,,133.5,134.1,134.0,134.9,135.3,143.1,140.6,142.0,143.8,
